screen_name,degree,betweenness,eigenvector,opinions,community_id
talkRADIO,316,0.0,0.00018492084742779597,NOT_AGAINST,2
PatrickChristys,19,0.0,1.0309662194636468e-14,NONE,2
soozywooozy,2,0.0,4.2726558450008996e-20,AGAINST,16
Lozzerdude,2,0.0,1.0254374028002163e-18,NOT_AGAINST,16
UKLabour,49,4.7028803710350805e-08,3.559114155664469e-05,NOT_AGAINST,16
Sigbertganser,1,0.0,4.2726558450008996e-20,NOT_AGAINST,857
bywirenews,1,0.0,1.0254374028002163e-18,NOT_AGAINST,857
gplondon,2,0.0,4.2726558450008996e-20,NOT_AGAINST,1
metpoliceuk,471,8.433071716075856e-06,0.0003591190379465066,AGAINST,1
heather_venter,5,2.9480742624399013e-07,1.0254374028002163e-18,NOT_AGAINST,10
ChristinaDonn11,13,0.0,4.2726558450008996e-20,NOT_AGAINST,0
AndyWells7,16,0.0,4.2726558450008996e-20,AGAINST,0
DavidHawker17,4,2.9480742624399013e-07,1.0254374028002163e-18,NOT_AGAINST,0
slightlymad1,3,0.0,4.2726558450008996e-20,AGAINST,3
bigD17952310,8,3.03230495565247e-07,1.0752490073520812e-12,AGAINST,3
PolygonHouse,3,2.8076897737522867e-09,1.0254374028002163e-18,NOT_AGAINST,16
markrmayhew,1,0.0,4.2726558450008996e-20,NOT_AGAINST,10
Daily_Express,41,7.019224434380716e-08,5.5308194452225865e-09,AGAINST,10
smeemartin,5,0.0,4.2726558450008996e-20,NOT_AGAINST,0
ray_walker4,2,0.0,4.2726558450008996e-20,NOT_AGAINST,3
ROmuyaaye,1,0.0,4.2726558450008996e-20,NOT_AGAINST,10
Q3j1u9haIfEACRd,1,0.0,4.2726558450008996e-20,NOT_AGAINST,10
Carla_littlerob,3,0.0,4.2726558450008996e-20,NOT_AGAINST,0
AndrewGoldthor3,6,7.019224434380717e-09,1.0254374028002163e-18,NOT_AGAINST,16
2ndWinston,4,0.0,4.2726558450008996e-20,AGAINST,1
DavidLammy,59,7.327067563145697e-07,0.0002075435004273381,NOT_AGAINST,1
James2Squ4,1,0.0,4.2726558450008996e-20,AGAINST,3
martinlewis74,2,0.0,1.0254374028002163e-18,NOT_AGAINST,1
AlexFerguson50,13,2.612438347402596e-06,3.3023357026011963e-16,AGAINST,0
FourAdamThirty,6,2.105767330314215e-08,1.905519053753501e-15,AGAINST,2
Jamie_Harte71,3,0.0,4.2726558450008996e-20,AGAINST,3
burnssl,6,0.0,4.2726558450008996e-20,NOT_AGAINST,1
darrenhunter2,1,0.0,1.0254374028002163e-18,NONE,1
JackieChild2,2,0.0,4.2726558450008996e-20,NOT_AGAINST,8
LBCNews,35,9.89710645247681e-08,1.9713675165743198e-12,AGAINST,3
jonatha36469630,7,0.0,4.2726558450008996e-20,NOT_AGAINST,1
jodie05625116,3,0.0,4.2726558450008996e-20,AGAINST,0
LegTeddys,1,0.0,4.2726558450008996e-20,AGAINST,9
mattrhucs,1,0.0,4.2726558450008996e-20,NOT_AGAINST,0
Gauci10P,4,0.0,4.2726558450008996e-20,AGAINST,3
viewsfromleft,13,1.017787542985204e-07,7.168375708800893e-13,NOT_AGAINST,3
SuzaEnver,5,0.0,4.2726558450008996e-20,NOT_AGAINST,2
marionste,6,0.0,4.2726558450008996e-20,AGAINST,1
shivanisharmaaa,1,0.0,4.2726558450008996e-20,AGAINST,3
sirose79,40,7.854512142072023e-07,4.5017172658697524e-11,NOT_AGAINST,7
scoutnick,3,0.0,1.0363287879426826e-10,NONE,7
Webbo2306,2,0.0,8.041784253220329e-11,NONE,7
MayorofLondon,933,0.0,0.0010560955044337488,NOT_AGAINST,1
WhitstableStev1,10,6.022494564698656e-07,5.861618279305686e-11,AGAINST,7
DalbyTerrance,3,0.0,4.2726558450008996e-20,AGAINST,3
mayavikrushna,1,0.0,4.2726558450008996e-20,AGAINST,9
Abqaic70,1,0.0,4.2726558450008996e-20,AGAINST,9
mrjamesob,32,0.0,3.292788004978893e-07,NONE,3
SolitudeDude1,1,0.0,4.2726558450008996e-20,AGAINST,9
EdwardLeftEU,1,0.0,4.2726558450008996e-20,NOT_AGAINST,0
moganney,1,0.0,4.2726558450008996e-20,NOT_AGAINST,0
makeshkumardur2,1,0.0,4.2726558450008996e-20,AGAINST,9
PathakMitra,1,0.0,4.2726558450008996e-20,AGAINST,9
DharmaCalling,1,0.0,4.2726558450008996e-20,AGAINST,9
AnkitSh51773951,1,0.0,4.2726558450008996e-20,AGAINST,9
yogirajshakya,1,0.0,4.2726558450008996e-20,AGAINST,9
AmitabhPoddar1,1,0.0,4.2726558450008996e-20,AGAINST,9
Vijay40612217,1,0.0,4.2726558450008996e-20,AGAINST,9
BabbarKamal,1,0.0,4.2726558450008996e-20,AGAINST,9
SanjayK19921599,1,0.0,4.2726558450008996e-20,AGAINST,9
TheAllseen,1,0.0,4.2726558450008996e-20,AGAINST,9
Kishore36414788,1,0.0,4.2726558450008996e-20,AGAINST,9
shaandilya_,1,0.0,4.2726558450008996e-20,AGAINST,9
Indic_e,1,0.0,4.2726558450008996e-20,AGAINST,9
abhirj87,1,0.0,4.2726558450008996e-20,AGAINST,9
harish3912,1,0.0,4.2726558450008996e-20,AGAINST,9
SurenderKD29,1,0.0,4.2726558450008996e-20,AGAINST,9
snobfielder,1,0.0,4.2726558450008996e-20,AGAINST,9
Archana071114,1,0.0,4.2726558450008996e-20,AGAINST,9
astik_shishya,1,0.0,4.2726558450008996e-20,AGAINST,9
Ladaku_Viman,1,0.0,4.2726558450008996e-20,AGAINST,9
MukulAgarwal66,1,0.0,4.2726558450008996e-20,AGAINST,9
sagarManOfSteel,1,0.0,4.2726558450008996e-20,AGAINST,9
nbhardwaj2009,1,0.0,4.2726558450008996e-20,AGAINST,9
Shraddhayoga14,1,0.0,4.2726558450008996e-20,AGAINST,9
WatchfulGaruda,1,0.0,4.2726558450008996e-20,AGAINST,9
RanjiniTam,1,0.0,4.2726558450008996e-20,AGAINST,9
mea_gulpa,1,0.0,4.2726558450008996e-20,AGAINST,9
dhakad135636,1,0.0,4.2726558450008996e-20,AGAINST,9
raghuttam88,1,0.0,4.2726558450008996e-20,AGAINST,9
HariomS20741285,1,0.0,4.2726558450008996e-20,AGAINST,9
Khemchandjoya,1,0.0,4.2726558450008996e-20,AGAINST,9
satyaanaveshi,1,0.0,4.2726558450008996e-20,AGAINST,9
BKyxZaBYqKwPaPv,1,0.0,4.2726558450008996e-20,AGAINST,9
MRITUNJAY1977,1,0.0,4.2726558450008996e-20,AGAINST,9
jagannath,1,0.0,4.2726558450008996e-20,AGAINST,9
Hichmalumnist,1,0.0,4.2726558450008996e-20,AGAINST,9
niruveer,1,0.0,4.2726558450008996e-20,AGAINST,9
ravalnaresh772,1,0.0,4.2726558450008996e-20,AGAINST,9
jsavandhi,1,0.0,4.2726558450008996e-20,AGAINST,9
Being_Pagan,1,0.0,4.2726558450008996e-20,AGAINST,9
rajca2011,1,0.0,4.2726558450008996e-20,AGAINST,9
bruceyboylondon,2,7.019224434380717e-09,5.376244823127612e-13,AGAINST,10
PaulCasella2,4,5.381405399691882e-09,5.37625507750164e-13,NOT_AGAINST,10
maryram70722202,1,0.0,4.2726558450008996e-20,NOT_AGAINST,0
Tarun33864349,1,0.0,4.2726558450008996e-20,AGAINST,9
milkgapes,1,0.0,4.2726558450008996e-20,AGAINST,537
inthesedeserts,2,0.0,2.0081482471504226e-18,NONE,537
Vignesh90295553,1,0.0,4.2726558450008996e-20,AGAINST,9
Juliejoolsw,3,0.0,4.2726558450008996e-20,AGAINST,0
Cypher79C,2,0.0,4.2726558450008996e-20,AGAINST,2
chrissy_demo,3,0.0,4.2726558450008996e-20,NOT_AGAINST,2
YoloYadav,2,0.0,4.2726558450008996e-20,NOT_AGAINST,9
col_jed,1,0.0,4.2726558450008996e-20,AGAINST,9
fosterite,1,0.0,4.2726558450008996e-20,AGAINST,573
davidschneider,2,0.0,2.0081482471504226e-18,NONE,573
giddey_srikanth,1,0.0,4.2726558450008996e-20,AGAINST,9
PatWilliams1944,12,5.053841592754116e-08,2.0081482471504226e-18,AGAINST,0
Senag23,1,0.0,4.2726558450008996e-20,AGAINST,9
gordontag1,15,0.0,4.2726558450008996e-20,AGAINST,0
scarycath,3,0.0,4.2726558450008996e-20,AGAINST,1
tartannettles13,1,0.0,1.0254374028002163e-18,NONE,1
david_LondonW5,4,0.0,4.2726558450008996e-20,NOT_AGAINST,0
suemitch2017,122,0.00021756992441366481,0.00020626494813987578,NOT_AGAINST,0
sreevatson,1,0.0,4.2726558450008996e-20,AGAINST,9
ben_mw,1,0.0,4.2726558450008996e-20,NOT_AGAINST,6
Turfline,7,0.0,4.2726558450008996e-20,NOT_AGAINST,0
EstaSnide,2,0.0,4.2726558450008996e-20,NOT_AGAINST,5
orr_it,1,0.0,1.0254374028002163e-18,NONE,5
Carona2004,3,0.0,4.2726558450008996e-20,NOT_AGAINST,0
pamela03702219,3,0.0,4.2726558450008996e-20,NOT_AGAINST,0
PCisfinished,25,0.0,4.2726558450008996e-20,NOT_AGAINST,0
BillBillBill06,3,0.0,4.2726558450008996e-20,AGAINST,5
unassailable,1,0.0,4.2726558450008996e-20,AGAINST,9
BhaveshSBL,1,0.0,4.2726558450008996e-20,AGAINST,9
Manmoha11080158,1,0.0,4.2726558450008996e-20,AGAINST,9
RajeevKSachan,1,0.0,4.2726558450008996e-20,AGAINST,9
Adam33936324,1,0.0,4.2726558450008996e-20,AGAINST,9
RobertMadeley01,34,0.0,4.2726558450008996e-20,AGAINST,1
jamesst16366799,6,0.0,4.2726558450008996e-20,NOT_AGAINST,0
GraemeSBradley1,2,0.0,4.2726558450008996e-20,NOT_AGAINST,0
Gailslinn,5,0.0,4.2726558450008996e-20,NOT_AGAINST,5
Timelord420,1,0.0,4.2726558450008996e-20,AGAINST,9
patrickolajide,4,0.0,4.2726558450008996e-20,NOT_AGAINST,3
PFEW_Chair,1,0.0,1.0254374028002163e-18,NONE,3
eddiemair,1,0.0,1.0254374028002163e-18,NONE,3
kevinduffy999,1,0.0,1.0254374028002163e-18,NONE,3
_gupta_mohit_,1,0.0,4.2726558450008996e-20,AGAINST,9
chetanrajchauh1,3,0.0,4.2726558450008996e-20,AGAINST,9
Sa,23,0.0,1.5550314241796413e-11,NONE,1
MartinCainActon,3,0.0,1.2817967535002703e-17,AGAINST,9
Paurushya,1,0.0,4.2726558450008996e-20,AGAINST,9
IIMNationalists,1,0.0,4.2726558450008996e-20,AGAINST,9
sebcollective1,3,0.0,4.2726558450008996e-20,NOT_AGAINST,4
iancollinsuk,4,0.0,3.5848415707447317e-13,NONE,4
tkmagesh,1,0.0,4.2726558450008996e-20,AGAINST,9
Ramani58942841,1,0.0,4.2726558450008996e-20,AGAINST,9
FollowThyLead,1,0.0,4.2726558450008996e-20,AGAINST,9
AIM_IJ,6,6.387494235286453e-07,1.380067837935291e-17,AGAINST,5
mickygees,1,0.0,1.0912363028132297e-16,NONE,5
paiyabalajijn,1,0.0,4.2726558450008996e-20,AGAINST,9
arvajaa,1,0.0,4.2726558450008996e-20,AGAINST,9
NexgenWellbeing,2,0.0,4.2726558450008996e-20,NOT_AGAINST,6
escobarexports,7,0.0,4.2726558450008996e-20,NOT_AGAINST,0
dvinesndwchmakr,1,0.0,4.2726558450008996e-20,AGAINST,9
Devi_Uvacha,1,0.0,4.2726558450008996e-20,AGAINST,9
marls16422440,1,0.0,4.2726558450008996e-20,AGAINST,1
rameshbobbu,1,0.0,4.2726558450008996e-20,AGAINST,9
kamalpd,1,0.0,4.2726558450008996e-20,AGAINST,9
GPakoda,1,0.0,4.2726558450008996e-20,AGAINST,9
rama_bhakt,1,0.0,4.2726558450008996e-20,AGAINST,9
NaomiLWood,1,0.0,4.2726558450008996e-20,AGAINST,1
anuragrby1,1,0.0,4.2726558450008996e-20,AGAINST,9
NitinSh02657621,1,0.0,4.2726558450008996e-20,AGAINST,9
nutsnvoltz,1,0.0,4.2726558450008996e-20,AGAINST,9
SAnsumali,1,0.0,4.2726558450008996e-20,AGAINST,9
Lalit_maurya1,1,0.0,4.2726558450008996e-20,AGAINST,9
GOKU184507,1,0.0,4.2726558450008996e-20,AGAINST,9
cinnamon201718,6,0.0,4.2726558450008996e-20,AGAINST,0
PRIYANS26884918,1,0.0,4.2726558450008996e-20,AGAINST,9
vismayshah,1,0.0,4.2726558450008996e-20,AGAINST,9
Alchemist932,1,0.0,4.2726558450008996e-20,AGAINST,9
kumaoni_woman,1,0.0,4.2726558450008996e-20,AGAINST,9
SamVisa41,1,0.0,4.2726558450008996e-20,AGAINST,9
83_saudagar,1,0.0,4.2726558450008996e-20,AGAINST,9
NissarGuru,1,0.0,4.2726558450008996e-20,AGAINST,9
manjula_induku1,1,0.0,4.2726558450008996e-20,AGAINST,9
vikrams17068903,1,0.0,4.2726558450008996e-20,AGAINST,9
bhanuvachan,1,0.0,4.2726558450008996e-20,AGAINST,9
1420kunal,1,0.0,4.2726558450008996e-20,AGAINST,9
simonjcrosland,1,0.0,4.2726558450008996e-20,AGAINST,858
PhilWilliams,1,0.0,1.0254374028002163e-18,NONE,858
philipjdoyle,25,1.7758637818983213e-07,3.2831019193219954e-11,NOT_AGAINST,1
LBR_Ripoff_Scam,3,2.105767330314215e-08,2.3215036304791527e-11,AGAINST,1
byasadev_mishra,1,0.0,4.2726558450008996e-20,AGAINST,9
sandeeparya4u,1,0.0,4.2726558450008996e-20,AGAINST,9
NegiSannie,1,0.0,4.2726558450008996e-20,AGAINST,9
DenierLockdown,7,5.6153795475045735e-09,1.0254374028002163e-18,NOT_AGAINST,2
callnum1,2,0.0,1.2817967535002703e-17,NONE,22
imNishant77,1,0.0,4.2726558450008996e-20,AGAINST,9
Neerajhit619,1,0.0,4.2726558450008996e-20,AGAINST,9
MartinG8177,8,0.0,4.2726558450008996e-20,NOT_AGAINST,1
MPFed,39,7.721146877818789e-08,2.963679407419929e-11,AGAINST,6
Samarth80204902,1,0.0,4.2726558450008996e-20,AGAINST,9
27476b54549e462,3,0.0,3.5420316955057447e-17,NONE,406
essvee19,1,0.0,4.2726558450008996e-20,AGAINST,9
cuceritorallumi,1,0.0,4.2726558450008996e-20,AGAINST,9
DhartiPutra1234,1,0.0,4.2726558450008996e-20,AGAINST,9
dorian_smith,3,0.0,4.2726558450008996e-20,NOT_AGAINST,5
WingHelping,1,0.0,1.0254374028002163e-18,NONE,5
bestofbritish2,4,2.8076897737522867e-09,6.289776669425825e-16,AGAINST,5
I_Lucky_56,1,0.0,4.2726558450008996e-20,AGAINST,9
HelenYates52,6,0.0,4.2726558450008996e-20,NOT_AGAINST,3
PoliceInspForum,28,1.1311480176004526e-06,2.963591946154779e-11,AGAINST,6
aaronub4t,1,0.0,4.2726558450008996e-20,NOT_AGAINST,0
MichelleDewbs,5,0.0,3.6868544515238943e-09,NONE,5
wfrost96,1,0.0,4.2726558450008996e-20,NOT_AGAINST,859
ConservativeHSP,1,0.0,1.0254374028002163e-18,AGAINST,859
MAYURBHOSLE14,1,0.0,4.2726558450008996e-20,AGAINST,9
Archieb48709437,4,0.0,4.2726558450008996e-20,AGAINST,0
abhishereporter,1,0.0,4.2726558450008996e-20,AGAINST,9
Black_Author,20,0.0,4.2726558450008996e-20,AGAINST,0
OliverOrnets,1,0.0,4.2726558450008996e-20,AGAINST,860
colinelves,1,0.0,1.0254374028002163e-18,NONE,860
libransoul03,1,0.0,4.2726558450008996e-20,AGAINST,9
bhandari_saab_,1,0.0,4.2726558450008996e-20,AGAINST,9
JGerrings,3,0.0,4.2726558450008996e-20,NOT_AGAINST,9
davealexbrexit,4,0.0,4.2726558450008996e-20,NOT_AGAINST,0
jthraves23,1,0.0,4.2726558450008996e-20,AGAINST,9
b1570c7168eb48b,1,0.0,4.2726558450008996e-20,NOT_AGAINST,0
lucyann28211055,2,0.0,4.2726558450008996e-20,NOT_AGAINST,7
FCARA_Bow,1,0.0,4.2726558450008996e-20,NOT_AGAINST,232
BurdettFC,5,0.0,1.0224465437087157e-16,NOT_AGAINST,232
Pargaras,1,0.0,4.2726558450008996e-20,AGAINST,5
janjay_j,7,0.0,4.2726558450008996e-20,AGAINST,2
jambos81,3,0.0,4.2726558450008996e-20,NOT_AGAINST,229
MikeTaiwan2,1,0.0,1.0254374028002163e-18,NONE,229
akalamusic,1,0.0,1.0254374028002163e-18,NONE,229
officialbarnesy,2,0.0,2.0081482471504226e-18,NONE,229
moistmallow,2,0.0,4.2726558450008996e-20,NOT_AGAINST,506
mightbevinny,1,0.0,1.0254374028002163e-18,NONE,506
mousemallow__,1,0.0,1.0254374028002163e-18,NONE,506
nodbear,4,0.0,4.2726558450008996e-20,AGAINST,0
SellickJohn,3,0.0,4.2726558450008996e-20,AGAINST,3
andytomlins,1,0.0,1.0254374028002163e-18,NONE,3
gibraltarfx,1,0.0,1.0254374028002163e-18,NONE,3
MaireidUi,2,0.0,4.2726558450008996e-20,AGAINST,9
robbo32,4,0.0,4.2726558450008996e-20,NOT_AGAINST,1
Petchelli,1,0.0,1.0254374028002163e-18,NONE,1
philashton68,1,0.0,4.2726558450008996e-20,NOT_AGAINST,8
BBCNews,214,0.0,5.89464039180196e-05,AGAINST,8
jdjack1,8,0.0,4.2726558450008996e-20,AGAINST,0
peterro70652951,3,0.0,4.2726558450008996e-20,AGAINST,0
bfchild66,1,0.0,4.2726558450008996e-20,AGAINST,861
WestBelfastUPRG,1,0.0,1.0254374028002163e-18,NONE,861
slicedalone,3,0.0,4.2726558450008996e-20,AGAINST,7
Melissa5857,4,0.0,7.168346227475564e-13,NONE,7
JeremyCordite,3,0.0,2.990859091500628e-18,NONE,7
BorisJohnson,166,0.0,0.00014714729200064922,NONE,7
oldtoonloon,11,0.0,4.2726558450008996e-20,NOT_AGAINST,0
dksheff,1,0.0,4.2726558450008996e-20,AGAINST,9
Englishgentlem9,4,0.0,4.2726558450008996e-20,NOT_AGAINST,2
kelvmackenzie,2,0.0,2.0081482471504226e-18,NONE,2
davewomble,6,0.0,4.2726558450008996e-20,NOT_AGAINST,1
richmoody8,1,0.0,1.0254374028002163e-18,NONE,1
TfL,62,0.0,0.00015320716696333873,NONE,1
BlackScarfMarc,1,0.0,1.0254374028002163e-18,NONE,1
themoreyoupush,4,0.0,4.2726558450008996e-20,AGAINST,2
Aetius77,6,0.0,4.2726558450008996e-20,NOT_AGAINST,146
thegigginhman,1,0.0,1.0254374028002163e-18,NONE,146
jonatanpallesen,1,0.0,1.0254374028002163e-18,NONE,146
RAVerBruggen,1,0.0,1.0254374028002163e-18,NONE,146
icecreamconean,1,0.0,1.0254374028002163e-18,NONE,146
PantsBaggy,1,0.0,1.0254374028002163e-18,NONE,146
ScotCampbell9,1,0.0,1.0254374028002163e-18,NONE,146
RockyWasYer,6,2.8076897737522867e-09,3.5841635002621307e-13,NOT_AGAINST,7
andy_baptiste,2,0.0,7.168326573258677e-13,NONE,7
mollskb_,5,0.0,3.5841635002621307e-13,AGAINST,7
Herewar66545077,4,0.0,4.2726558450008996e-20,AGAINST,9
paulJpitt1967,8,0.0,7.904413313251657e-18,AGAINST,9
Katrina20932914,3,0.0,3.5841635002621307e-13,AGAINST,2
Iromg,25,4.562495882347466e-08,6.937239118829786e-05,NOT_AGAINST,2
deephouse44,3,0.0,3.5841635002621307e-13,NOT_AGAINST,2
blackvanman1,1,0.0,4.2726558450008996e-20,NOT_AGAINST,1
roger_lfc,3,0.0,4.2726558450008996e-20,NOT_AGAINST,2
UkPolitoons,6,7.019224434380717e-09,1.0254374028002163e-18,AGAINST,1
parentchain,9,0.0,4.2726558450008996e-20,NOT_AGAINST,8
DeptfordRising,1,0.0,1.0254374028002163e-18,NONE,8
eddiecoke,8,0.0,4.2726558450008996e-20,AGAINST,2
mrichie10,9,3.299035484158937e-08,1.0254374028002163e-18,NOT_AGAINST,0
SkyNews,72,0.0,1.0354111133048306e-05,AGAINST,8
WhitsJnr,3,0.0,4.2726558450008996e-20,AGAINST,9
CCBK666,3,0.0,4.2726558450008996e-20,AGAINST,0
AndrewCastell2,3,0.0,4.2726558450008996e-20,AGAINST,16
AngelaRayner,11,0.0,2.1662365134154607e-17,NONE,0
andystubbington,4,0.0,4.2726558450008996e-20,NOT_AGAINST,0
HistoryUnchain,1,0.0,4.2726558450008996e-20,AGAINST,9
Grayruskin,4,0.0,4.2726558450008996e-20,NOT_AGAINST,0
Kingkongsfinge3,2,0.0,4.2726558450008996e-20,AGAINST,8
InkandAmber1,7,1.4038448868761434e-08,3.973569935850838e-18,AGAINST,8
itvnews,31,0.0,1.555035453294103e-11,NOT_AGAINST,8
marthapick3,1,0.0,4.2726558450008996e-20,AGAINST,9
chris3103861,1,0.0,4.2726558450008996e-20,AGAINST,2
