lsoa_code,lsoa_name,total_19,population,borough,total_17,total_19_1000,total_17_1000,pct_change,pct_change_abs,crime_cohort,change_cohort
E01003799,Richmond upon Thames 001C,9,1644,Richmond upon Thames,20.0,5.474452554744525,12.165450121654501,-0.55,0.55,lower_crime,lower_change
E01003800,Richmond upon Thames 001D,13,1427,Richmond upon Thames,11.0,9.110021023125437,7.708479327259986,0.18181818181818174,0.18181818181818174,lower_crime,lower_change
E01003801,Richmond upon Thames 001E,10,1285,Richmond upon Thames,3.0,7.782101167315175,2.3346303501945527,2.3333333333333335,2.3333333333333335,lower_crime,top_50
E01003802,Richmond upon Thames 001F,2,1317,Richmond upon Thames,2.0,1.5186028853454823,1.5186028853454823,0.0,0.0,lower_crime,lower_change
E01003803,Richmond upon Thames 001G,21,1515,Richmond upon Thames,13.0,13.861386138613861,8.58085808580858,0.6153846153846154,0.6153846153846154,lower_crime,top_250
E01003804,Richmond upon Thames 005A,6,1805,Richmond upon Thames,6.0,3.3240997229916895,3.3240997229916895,0.0,0.0,lower_crime,lower_change
E01003805,Richmond upon Thames 012A,4,1627,Richmond upon Thames,4.0,2.4585125998770745,2.4585125998770745,0.0,0.0,lower_crime,lower_change
E01003806,Richmond upon Thames 012B,3,1619,Richmond upon Thames,6.0,1.8529956763434219,3.7059913526868438,-0.5,0.5,lower_crime,lower_change
E01003807,Richmond upon Thames 005B,19,2019,Richmond upon Thames,12.0,9.41059930658742,5.943536404160476,0.5833333333333334,0.5833333333333334,lower_crime,top_250
E01003808,Richmond upon Thames 005C,4,1916,Richmond upon Thames,7.0,2.0876826722338206,3.653444676409186,-0.42857142857142855,0.42857142857142855,lower_crime,lower_change
E01003809,Richmond upon Thames 005D,13,1705,Richmond upon Thames,8.0,7.624633431085044,4.69208211143695,0.625,0.625,lower_crime,top_250
E01003810,Richmond upon Thames 019A,7,1594,Richmond upon Thames,14.0,4.391468005018821,8.782936010037641,-0.5,0.5,lower_crime,lower_change
E01003811,Richmond upon Thames 018A,6,1858,Richmond upon Thames,5.0,3.2292787944025836,2.6910656620021527,0.20000000000000012,0.20000000000000012,lower_crime,lower_change
E01003812,Richmond upon Thames 018B,12,1916,Richmond upon Thames,6.0,6.263048016701461,3.1315240083507305,1.0,1.0,lower_crime,top_50
E01003813,Richmond upon Thames 019B,2,1638,Richmond upon Thames,4.0,1.221001221001221,2.442002442002442,-0.5,0.5,lower_crime,lower_change
E01003814,Richmond upon Thames 019C,9,1751,Richmond upon Thames,5.0,5.139920045688179,2.8555111364934325,0.8,0.8,lower_crime,top_250
E01003815,Richmond upon Thames 019D,23,1950,Richmond upon Thames,11.0,11.794871794871796,5.641025641025641,1.0909090909090908,1.0909090909090908,lower_crime,top_50
E01003816,Richmond upon Thames 012C,9,1839,Richmond upon Thames,11.0,4.893964110929853,5.981511691136487,-0.18181818181818177,0.18181818181818177,lower_crime,lower_change
E01003817,Richmond upon Thames 012D,18,2100,Richmond upon Thames,17.0,8.571428571428571,8.095238095238095,0.05882352941176472,0.05882352941176472,lower_crime,lower_change
E01003818,Richmond upon Thames 017A,10,1656,Richmond upon Thames,5.0,6.038647342995169,3.0193236714975846,1.0,1.0,lower_crime,top_50
E01003819,Richmond upon Thames 017B,10,1761,Richmond upon Thames,22.0,5.6785917092561045,12.49290176036343,-0.5454545454545455,0.5454545454545455,lower_crime,lower_change
E01003820,Richmond upon Thames 017C,12,2072,Richmond upon Thames,8.0,5.7915057915057915,3.861003861003861,0.5000000000000001,0.5000000000000001,lower_crime,top_250
E01003821,Richmond upon Thames 008A,11,1749,Richmond upon Thames,13.0,6.289308176100629,7.43281875357347,-0.15384615384615377,0.15384615384615377,lower_crime,lower_change
E01003822,Richmond upon Thames 023A,2,1386,Richmond upon Thames,1.0,1.443001443001443,0.7215007215007215,1.0,1.0,lower_crime,top_50
E01003823,Richmond upon Thames 023B,20,1688,Richmond upon Thames,12.0,11.848341232227488,7.109004739336493,0.6666666666666666,0.6666666666666666,lower_crime,top_250
E01003824,Richmond upon Thames 023C,0,1622,Richmond upon Thames,2.0,0.0,1.2330456226880395,-1.0,1.0,lower_crime,lower_change
E01003825,Richmond upon Thames 023D,8,1790,Richmond upon Thames,1.0,4.4692737430167595,0.5586592178770949,7.0,7.0,lower_crime,top_50
E01003826,Richmond upon Thames 023E,14,1869,Richmond upon Thames,19.0,7.49063670411985,10.165864098448369,-0.2631578947368422,0.2631578947368422,lower_crime,lower_change
E01003827,Richmond upon Thames 023F,7,1961,Richmond upon Thames,11.0,3.569607343192249,5.609382967873534,-0.3636363636363637,0.3636363636363637,lower_crime,lower_change
E01003828,Richmond upon Thames 020A,3,1490,Richmond upon Thames,6.0,2.0134228187919465,4.026845637583893,-0.5,0.5,lower_crime,lower_change
E01003829,Richmond upon Thames 020B,27,1688,Richmond upon Thames,15.0,15.995260663507109,8.886255924170616,0.8,0.8,lower_crime,top_250
E01003830,Richmond upon Thames 020C,10,1784,Richmond upon Thames,4.0,5.605381165919282,2.242152466367713,1.5,1.5,lower_crime,top_50
E01003831,Richmond upon Thames 020D,6,1676,Richmond upon Thames,6.0,3.579952267303103,3.579952267303103,0.0,0.0,lower_crime,lower_change
E01003832,Richmond upon Thames 020E,18,1437,Richmond upon Thames,14.0,12.526096033402922,9.742519137091163,0.28571428571428553,0.28571428571428553,lower_crime,lower_change
E01003833,Richmond upon Thames 020F,10,1395,Richmond upon Thames,1.0,7.168458781362007,0.7168458781362007,9.0,9.0,lower_crime,top_50
