source,target
#jeanfoster,#knifecrime
#mista,#murdered
#murdered,#teenagers
#jeanfoster,#murdered
#mista,#teenagers
#jeanfoster,#mista
#jeanfoster,#teenagers
#knifecrime,#violentcrime
#gangcrime,#knifecrime
#knifecrime,#violentcrime
#gangcrime,#violentcrime
#borisjohnson,#crime
#borisjohnson,#crime
#freespeech,#knifecrime
#charliehebdo,#knifecrime
#charliehebdo,#freespeech
#gangcrime,#knifecrime
#knifecrime,#lawandorder
#gangcrime,#lawandorder
#knifecrime,#violentcrime
#guncrime,#knifecrime
#guncrime,#violentcrime
#knifecrime,#london
#knifecrime,#london
#edmonton,#london
#crime,#london
#london,#murder
#enfield,#london
#crime,#edmonton
#edmonton,#murder
#edmonton,#enfield
#crime,#murder
#crime,#enfield
#enfield,#murder
#assault,#crime
#policecuts,#stopandsearch
#austerity,#policecuts
#borisjohnson,#policecuts
#policecuts,#racism
#beatingcrimeplan,#policecuts
#austerity,#stopandsearch
#borisjohnson,#stopandsearch
#racism,#stopandsearch
#beatingcrimeplan,#stopandsearch
#austerity,#borisjohnson
#austerity,#racism
#austerity,#beatingcrimeplan
#borisjohnson,#racism
#beatingcrimeplan,#borisjohnson
#beatingcrimeplan,#racism
#policecuts,#stopandsearch
#austerity,#policecuts
#borisjohnson,#policecuts
#policecuts,#racism
#beatingcrimeplan,#policecuts
#austerity,#stopandsearch
#borisjohnson,#stopandsearch
#racism,#stopandsearch
#beatingcrimeplan,#stopandsearch
#austerity,#borisjohnson
#austerity,#racism
#austerity,#beatingcrimeplan
#borisjohnson,#racism
#beatingcrimeplan,#borisjohnson
#beatingcrimeplan,#racism
#police,#policereform
#policecuts,#stopandsearch
#austerity,#policecuts
#borisjohnson,#policecuts
#policecuts,#racism
#beatingcrimeplan,#policecuts
#austerity,#stopandsearch
#borisjohnson,#stopandsearch
#racism,#stopandsearch
#beatingcrimeplan,#stopandsearch
#austerity,#borisjohnson
#austerity,#racism
#austerity,#beatingcrimeplan
#borisjohnson,#racism
#beatingcrimeplan,#borisjohnson
#beatingcrimeplan,#racism
#policecuts,#stopandsearch
#austerity,#policecuts
#borisjohnson,#policecuts
#policecuts,#racism
#beatingcrimeplan,#policecuts
#austerity,#stopandsearch
#borisjohnson,#stopandsearch
#racism,#stopandsearch
#beatingcrimeplan,#stopandsearch
#austerity,#borisjohnson
#austerity,#racism
#austerity,#beatingcrimeplan
#borisjohnson,#racism
#beatingcrimeplan,#borisjohnson
#beatingcrimeplan,#racism
#charges,#horrific
#charges,#huge
#charges,#eunat
#charges,#list
#charges,#crime
#arrests,#charges
#horrific,#huge
#eunat,#horrific
#horrific,#list
#crime,#horrific
#arrests,#horrific
#eunat,#huge
#huge,#list
#crime,#huge
#arrests,#huge
#eunat,#list
#crime,#eunat
#arrests,#eunat
#crime,#list
#arrests,#list
#arrests,#crime
#charges,#horrific
#charges,#huge
#charges,#list
#charges,#crime
#arrests,#charges
#horrific,#huge
#horrific,#list
#crime,#horrific
#arrests,#horrific
#huge,#list
#crime,#huge
#arrests,#huge
#crime,#list
#arrests,#list
#arrests,#crime
#hate,#horrific
#eu,#horrific
#crime,#horrific
#eu,#hate
#crime,#hate
#crime,#eu
#hate,#horrific
#eu,#horrific
#crime,#horrific
#eu,#hate
#crime,#hate
#crime,#eu
#policecuts,#stopandsearch
#austerity,#policecuts
#borisjohnson,#policecuts
#policecuts,#racism
#beatingcrimeplan,#policecuts
#austerity,#stopandsearch
#borisjohnson,#stopandsearch
#racism,#stopandsearch
#beatingcrimeplan,#stopandsearch
#austerity,#borisjohnson
#austerity,#racism
#austerity,#beatingcrimeplan
#borisjohnson,#racism
#beatingcrimeplan,#borisjohnson
#beatingcrimeplan,#racism
#policecuts,#stopandsearch
#austerity,#policecuts
#borisjohnson,#policecuts
#policecuts,#racism
#beatingcrimeplan,#policecuts
#austerity,#stopandsearch
#borisjohnson,#stopandsearch
#racism,#stopandsearch
#beatingcrimeplan,#stopandsearch
#austerity,#borisjohnson
#austerity,#racism
#austerity,#beatingcrimeplan
#borisjohnson,#racism
#beatingcrimeplan,#borisjohnson
#beatingcrimeplan,#racism
#policecuts,#stopandsearch
#austerity,#policecuts
#borisjohnson,#policecuts
#policecuts,#racism
#beatingcrimeplan,#policecuts
#austerity,#stopandsearch
#borisjohnson,#stopandsearch
#racism,#stopandsearch
#beatingcrimeplan,#stopandsearch
#austerity,#borisjohnson
#austerity,#racism
